bobby@gmail.com,55555,imcoolman
bobby@gmail.com,55555,imcoolman
mary@gmail.com,,hereiam
bobby@gmail.com,55555,imcoolman
bobby@gmail.com,55555,imcoolman
bobby@gmail.com,55555,imcoolman
bobby@gmail.com,55555,imcoolman
bobby@gmail.com,55555,imcoolman
bobby@gmail.com,55555,imcoolman
bobby@gmail.com,55555,imcoolman
bobby@gmail.com,55555,imcoolman
bobby@gmail.com,55555,imcoolman
bobby@gmail.com,55555,imcoolman
bobby@gmail.com,55555,imcoolman
bobby@gmail.com,55555,imcoolman
bobby@gmail.com,55555,imcoolman
bobby@gmail.com,55555,imcoolman
bobby@gmail.com,55555,imcoolman
bobby@gmail.com,55555,imcoolman
example@gmail.com,,broidontlikethis
Molly@gmail.com,,hello
bro@gmail.com,,testtest
hel@hades.com,,bro
hades@bro.com,,bro
moly@gmaik.com,,brosup
asd@g,,fwef
molly@testing.com,,hellowowlrd
molly@gmail.com,,iamcute
jimmy@gmail.com,,bobby
helloworld@outlook.com,,jimmybeans
jimmy@proton.me,,broilikerunning
henry@outlook.com,,iamthebeast
henry@outlook.com,,iamthebeast
henry@outlook.com,,iamthebeast
bro@gmail.com,,supbro
hello@gmail.com,,supbro
hello@gmail.com,,testing
broimtrying@icloud.com,,dontbothermeplsssss
molly@gmail.com,,supbroiamhereagain
janey@lover.com,,tarzanforever
hello@gmail.com,,broimhere
supbro@icloud.com,,errorapparently
sorry@gmail.com,,forwhat
hello@gmail.com,,broagain
molly@gmail.com,,broletstryoncemore
jsmsb@gmail.com,,hisdufsjdbbf
wieufb@gmail.com,,iubfiwebfwef
hello@gmail.com,,pleasework
hello@gmail.com,,broihaveissues
supbro@gmail.com,,iamfreeeeeeee
